spice,year,world_production
Cloves,1994,85443.31
Cloves,1995,93878.0
Cloves,1996,72661.07
Cloves,1997,65193.66
Cloves,1998,77131.23
Cloves,1999,65513.21
Cloves,2000,71635.18
Cloves,2001,85316.6
Cloves,2002,92746.89
Cloves,2003,131108.64
Cloves,2004,88952.15
Cloves,2005,93683.89
Cloves,2006,86310.78
Cloves,2007,105795.3
Cloves,2008,96627.98
Cloves,2009,108145.59
Cloves,2010,125002.79
Cloves,2011,100456.42
Cloves,2012,129072.37
Cloves,2013,140899.71
Cloves,2014,38518.29
Cloves,2015,158448.97
Cloves,2016,159640.93
Cloves,2017,157627.94
Cloves,2018,172465.16
Cloves,2019,187439.07
Cloves,2020,188891.77
Cloves,2021,177787.81
Cloves,2022,186611.45
Cloves,2023,185691.16
Ginger,1993,651020.83
Ginger,1994,601285.08
Ginger,1995,745109.71
Ginger,1996,856234.08
Ginger,1997,887208.54
Ginger,1998,971204.41
Ginger,1999,1014460.08
Ginger,2000,1045187.5
Ginger,2001,1139766.45
Ginger,2002,1215541.63
Ginger,2003,1273622.24
Ginger,2004,1255804.59
Ginger,2005,1392672.09
Ginger,2006,1498345.3
Ginger,2007,1608229.73
Ginger,2008,1623516.84
Ginger,2009,1669181.23
Ginger,2010,1718055.26
Ginger,2011,2414632.75
Ginger,2012,2491348.89
Ginger,2013,2462089.06
Ginger,2014,2299511.34
Ginger,2015,2758535.38
Ginger,2016,3593782.25
Ginger,2017,3505813.85
Ginger,2018,4069340.07
Ginger,2019,4123679.22
Ginger,2020,4308419.97
Ginger,2021,4840415.71
Ginger,2022,4850142.69
Ginger,2023,4861254.35
Nutmeg/Mace/Cardamom,1993,57903.46
Nutmeg/Mace/Cardamom,1994,53130.4
Nutmeg/Mace/Cardamom,1995,54603.07
Nutmeg/Mace/Cardamom,1996,61270.59
Nutmeg/Mace/Cardamom,1997,65170.3
Nutmeg/Mace/Cardamom,1998,55693.18
Nutmeg/Mace/Cardamom,1999,48273.91
Nutmeg/Mace/Cardamom,2000,60278.74
Nutmeg/Mace/Cardamom,2001,65385.5
Nutmeg/Mace/Cardamom,2002,75325.57
Nutmeg/Mace/Cardamom,2003,80993.66
Nutmeg/Mace/Cardamom,2004,73614.45
Nutmeg/Mace/Cardamom,2005,76269.14
Nutmeg/Mace/Cardamom,2006,80007.79
Nutmeg/Mace/Cardamom,2007,75680.06
Nutmeg/Mace/Cardamom,2008,84992.32
Nutmeg/Mace/Cardamom,2009,67115.65
Nutmeg/Mace/Cardamom,2010,62783.43
Nutmeg/Mace/Cardamom,2011,70358.66
Nutmeg/Mace/Cardamom,2012,88279.93
Nutmeg/Mace/Cardamom,2013,93984.57
Nutmeg/Mace/Cardamom,2014,106032.38
Nutmeg/Mace/Cardamom,2015,105398.46
Nutmeg/Mace/Cardamom,2016,119667.84
Nutmeg/Mace/Cardamom,2017,126490.28
Nutmeg/Mace/Cardamom,2018,139081.16
Nutmeg/Mace/Cardamom,2019,144475.24
Nutmeg/Mace/Cardamom,2020,150897.67
Nutmeg/Mace/Cardamom,2021,176446.62
Nutmeg/Mace/Cardamom,2022,202293.43
Nutmeg/Mace/Cardamom,2023,219153.24
Pepper,1993,230440.16
Pepper,1994,211326.81
Pepper,1995,226228.33
Pepper,1996,227889.29
Pepper,1997,206187.16
Pepper,1998,232497.61
Pepper,1999,267494.76
Pepper,2000,267583.86
Pepper,2001,305408.5
Pepper,2002,322392.18
Pepper,2003,337179.89
Pepper,2004,336541.41
Pepper,2005,348611.57
Pepper,2006,371212.57
Pepper,2007,352380.34
Pepper,2008,325455.08
Pepper,2009,326192.91
Pepper,2010,321871.75
Pepper,2011,318045.79
Pepper,2012,425920.77
Pepper,2013,466273.31
Pepper,2014,504510.82
Pepper,2015,560884.25
Pepper,2016,623177.71
Pepper,2017,697439.51
Pepper,2018,828316.23
Pepper,2019,830989.2
Pepper,2020,852767.39
Pepper,2021,868378.53
Pepper,2022,866026.41
Pepper,2023,855105.11
Vanilla,1993,2397.74
Vanilla,1994,2461.97
Vanilla,1995,2733.72
Vanilla,1996,3804.88
Vanilla,1997,3649.82
Vanilla,1998,4194.13
Vanilla,1999,4105.59
Vanilla,2000,3768.54
Vanilla,2001,4544.9
Vanilla,2002,5247.08
Vanilla,2003,4764.31
Vanilla,2004,5784.55
Vanilla,2005,7445.5
Vanilla,2006,9006.96
Vanilla,2007,9327.46
Vanilla,2008,9301.74
Vanilla,2009,9216.46
Vanilla,2010,8334.92
Vanilla,2011,8687.15
Vanilla,2012,8145.38
Vanilla,2013,7698.75
Vanilla,2014,6822.65
Vanilla,2015,7004.63
Vanilla,2016,7535.15
Vanilla,2017,7399.53
Vanilla,2018,7462.06
Vanilla,2019,6794.07
Vanilla,2020,6287.18
Vanilla,2021,6418.75
Vanilla,2022,6686.67
Vanilla,2023,6921.65
