area,cca3,continent,production,import,export,consumption,import_dependence_pct,self_sufficiency_pct
Guinea,GIN,Africa,0.0,387.4,5.3,382.1,101.4,0.0
Lesotho,LSO,Africa,0.0,346.0,0.1,345.9,100.0,0.0
Albania,ALB,Europe,0.0,1215.4,902.4,313.1,388.3,0.0
Palestine,PSE,Asia,174.8,142.9,5.4,312.3,45.8,56.0
Malta,MLT,Europe,0.0,280.2,0.0,280.2,100.0,0.0
Suriname,SUR,South America,0.0,279.3,0.0,279.3,100.0,0.0
Angola,AGO,Africa,0.0,270.6,0.1,270.5,100.0,0.0
Iceland,ISL,Europe,0.0,264.2,1.8,262.4,100.7,0.0
Luxembourg,LUX,Europe,0.0,273.8,25.7,248.1,110.4,0.0
Turkmenistan,TKM,Asia,0.0,240.8,0.0,240.8,100.0,0.0
Central African Republic,CAF,Africa,118.6,112.8,0.0,231.4,48.8,51.2
Botswana,BWA,Africa,0.0,220.4,1.0,219.3,100.5,0.0
Montenegro,MNE,Europe,0.0,433.5,221.0,212.6,203.9,0.0
Antigua and Barbuda,ATG,North America,0.0,206.5,0.0,206.5,100.0,0.0
Tonga,TON,Oceania,196.0,7.7,0.6,203.1,3.8,96.5
Liberia,LBR,Africa,0.0,195.0,0.0,195.0,100.0,0.0
Chad,TCD,Africa,0.0,192.2,0.0,192.2,100.0,0.0
Vanuatu,VUT,Oceania,181.7,4.7,0.4,186.0,2.5,97.7
French Polynesia,PYF,Oceania,144.3,39.6,10.9,172.9,22.9,83.4
Gambia,GMB,Africa,0.0,146.1,6.4,139.7,104.6,0.0
Congo,COG,Africa,0.0,136.3,0.3,136.0,100.2,0.0
Timor-Leste,TLS,Asia,124.3,65.7,54.9,135.1,48.6,92.0
Mongolia,MNG,Asia,0.0,121.7,4.1,117.6,103.5,0.0
Belize,BLZ,North America,81.0,46.9,38.3,89.5,52.4,90.5
Gabon,GAB,Africa,0.0,73.3,0.0,73.3,100.0,0.0
New Caledonia,NCL,Oceania,0.0,66.2,0.4,65.8,100.7,0.0
Eswatini,SWZ,Africa,0.0,65.1,0.5,64.6,100.7,0.0
Saint Lucia,LCA,North America,34.0,32.8,18.6,48.2,68.0,70.5
Sao Tome and Principe,STP,Africa,57.7,8.2,19.7,46.2,17.8,124.9
