spice,area,cca3,continent,production,consumption
Anise/Cumin/Coriander,Saint Vincent and the Grenadines,VCT,North America,0.0,0.8
Anise/Cumin/Coriander,Samoa,WSM,Oceania,0.0,0.8
Anise/Cumin/Coriander,Sao Tome and Principe,STP,Africa,0.0,5.7
Anise/Cumin/Coriander,Saudi Arabia,SAU,Asia,0.0,14507.6
Anise/Cumin/Coriander,Senegal,SEN,Africa,0.0,33.1
Anise/Cumin/Coriander,Serbia,SRB,Europe,950.2,267.7
Anise/Cumin/Coriander,Seychelles,SYC,Africa,0.0,93.4
Anise/Cumin/Coriander,Sierra Leone,SLE,Africa,0.0,16.3
Anise/Cumin/Coriander,Singapore,SGP,Asia,0.0,1581.7
Anise/Cumin/Coriander,Slovakia,SVK,Europe,0.0,513.0
Anise/Cumin/Coriander,Slovenia,SVN,Europe,0.0,207.9
Anise/Cumin/Coriander,Solomon Islands,SLB,Oceania,0.0,21.3
Anise/Cumin/Coriander,Somalia,SOM,Africa,0.0,2071.4
Anise/Cumin/Coriander,South Africa,ZAF,Africa,0.0,6788.6
Anise/Cumin/Coriander,South Sudan,SSD,Africa,0.0,18.7
Anise/Cumin/Coriander,Spain,ESP,Europe,0.0,-3078.3
Anise/Cumin/Coriander,Sri Lanka,LKA,Asia,0.0,22273.5
Anise/Cumin/Coriander,Sudan,SDN,Africa,0.0,-371.7
Anise/Cumin/Coriander,Suriname,SUR,South America,0.0,133.8
Anise/Cumin/Coriander,Sweden,SWE,Europe,0.0,1096.2
Anise/Cumin/Coriander,Switzerland,CHE,Europe,0.0,883.0
Anise/Cumin/Coriander,Syrian Arab Republic,SYR,Asia,48637.0,31592.2
Anise/Cumin/Coriander,Tajikistan,TJK,Asia,0.0,337.2
Anise/Cumin/Coriander,Thailand,THA,Asia,0.0,3992.4
Anise/Cumin/Coriander,Timor-Leste,TLS,Asia,0.0,5.0
Anise/Cumin/Coriander,Togo,TGO,Africa,0.0,45.6
Anise/Cumin/Coriander,Tonga,TON,Oceania,0.0,0.4
Anise/Cumin/Coriander,Trinidad and Tobago,TTO,North America,0.0,1080.9
Anise/Cumin/Coriander,Tunisia,TUN,Africa,11107.6,14048.0
Anise/Cumin/Coriander,Türkiye,TUR,Asia,341590.0,340491.8
Anise/Cumin/Coriander,Turkmenistan,TKM,Asia,0.0,2.1
Anise/Cumin/Coriander,Uganda,UGA,Africa,0.0,115.3
Anise/Cumin/Coriander,Ukraine,UKR,Europe,2460.0,639.7
Anise/Cumin/Coriander,United Arab Emirates,ARE,Asia,0.0,10049.6
