area,cca3,continent,consumption_t,pop_2022,grams_per_capita_yr
Gambia,GMB,Africa,139.7,2705992,51.6
Papua New Guinea,PNG,Oceania,481.7,10142619,47.5
Burundi,BDI,Africa,602.1,12889576,46.7
Cuba,CUB,North America,513.2,11212191,45.8
Central African Republic,CAF,Africa,231.4,5579144,41.5
Turkmenistan,TKM,Asia,240.8,6430770,37.4
Liberia,LBR,Africa,195.0,5302681,36.8
Colombia,COL,South America,1853.5,51874024,35.7
Mongolia,MNG,Asia,117.6,3398366,34.6
Haiti,HTI,North America,399.4,11584996,34.5
Solomon Islands,SLB,Oceania,24.9,724273,34.4
Gabon,GAB,Africa,73.3,2388992,30.7
Guinea,GIN,Africa,382.1,13859341,27.6
Venezuela (Bolivarian Republic of),VEN,South America,672.6,28301696,23.8
Congo,COG,Africa,136.0,5970424,22.8
Chad,TCD,Africa,192.2,17723315,10.8
Angola,AGO,Africa,270.5,35588987,7.6
Nicaragua,NIC,North America,44.0,6948392,6.3
Equatorial Guinea,GNQ,Africa,10.3,1674908,6.1
Eritrea,ERI,Africa,12.1,3684032,3.3
Tuvalu,TUV,Oceania,0.0,11312,0.9
Guinea-Bissau,GNB,Africa,1.6,2105566,0.8
